Date,Closing Price,Return
113/01/02,1760,0
113/01/03,1695,-0.03693
113/01/04,1665,-0.0177
113/01/05,1710,0.02703
113/01/08,1690,-0.0117
113/01/09,1715,0.01479
113/01/10,1770,0.03207
113/01/11,1910,0.0791
113/01/12,1905,-0.00262
113/01/15,1865,-0.021
113/01/16,1910,0.02413
113/01/17,1885,-0.01309
113/01/18,1880,-0.00265
113/01/19,1990,0.05851
113/01/22,2185,0.09799
113/01/23,2220,0.01602
113/01/24,2125,-0.04279
113/01/25,2095,-0.01412
113/01/26,2080,-0.00716
113/01/29,2190,0.05288
113/01/30,2235,0.02055
113/01/31,2200,-0.01566
113/02/01,2170,-0.01364
113/02/02,2310,0.06452
113/02/05,2265,-0.01948
113/02/15,2345,0.03532
113/02/16,2285,-0.02559
113/02/19,2250,-0.01532
113/02/20,2205,-0.02
113/02/21,2155,-0.02268
113/02/22,2115,-0.01856
113/02/23,2170,0.026
113/02/26,2220,0.02304
113/02/27,2120,-0.04505
113/02/29,2330,0.09906
113/03/01,2500,0.07296
113/03/04,2445,-0.022
113/03/05,2560,0.04703
113/03/06,2560,0
113/03/07,2510,-0.01953
113/03/08,2445,-0.0259
113/03/11,2430,-0.00613
113/03/12,2435,0.00206
113/03/13,2330,-0.04312
113/03/14,2260,-0.03004
113/03/15,2200,-0.02655
113/03/18,2195,-0.00227
113/03/19,2175,-0.00911
113/03/20,2195,0.0092
113/03/21,2225,0.01367
113/03/22,2295,0.03146
113/03/25,2265,-0.01307
113/03/26,2225,-0.01766
113/03/27,2185,-0.01798
113/03/28,2190,0.00229
113/03/29,2270,0.03653
113/04/01,2295,0.01101
113/04/02,2240,-0.02397
113/04/03,2460,0.09821
113/04/08,2475,0.0061
113/04/09,2475,0
113/04/10,2355,-0.04848
113/04/11,2325,-0.01274
113/04/12,2405,0.03441
113/04/15,2420,0.00624
113/04/16,2305,-0.04752
113/04/17,2390,0.03688
113/04/18,2500,0.04603
113/04/19,2315,-0.074
113/04/22,2160,-0.06695
113/04/23,2130,-0.01389
113/04/24,2290,0.07512
113/04/25,2250,-0.01747
113/04/26,2325,0.03333
113/04/29,2360,0.01505
113/04/30,2360,0
113/05/02,2275,-0.03602
113/05/03,2225,-0.02198
113/05/06,2285,0.02697
113/05/07,2345,0.02626
113/05/08,2395,0.02132
113/05/09,2450,0.02296
113/05/10,2405,-0.01837
113/05/13,2385,-0.00832
113/05/14,2470,0.03564
113/05/15,2595,0.05061
113/05/16,2665,0.02697
113/05/17,2635,-0.01126
113/05/20,2595,-0.01518
113/05/21,2565,-0.01156
113/05/22,2595,0.0117
113/05/23,2740,0.05588
113/05/24,2740,0
113/05/27,2710,-0.01095
113/05/28,2685,-0.00923
113/05/29,2640,-0.01676
113/05/30,2645,0.00189
113/05/31,2470,-0.06616
113/06/03,2565,0.03846
113/06/04,2535,-0.0117
113/06/05,2525,-0.00394
113/06/06,2620,0.03762
113/06/07,2630,0.00382
113/06/11,2610,-0.0076
113/06/12,2610,0
113/06/13,2715,0.04023
113/06/14,2765,0.01842
113/06/17,2660,-0.03797
113/06/18,2710,0.0188
113/06/19,2965,0.0941
113/06/20,2955,-0.00337
113/06/21,2800,-0.05245
113/06/24,2665,-0.04821
113/06/25,2605,-0.02251
113/06/26,2590,-0.00576
113/06/27,2555,-0.01351
113/06/28,2645,0.03523
113/07/01,2605,-0.01512
113/07/02,2615,0.00384
113/07/03,2620,0.00191
113/07/04,2730,0.04198
113/07/05,2725,-0.00183
113/07/08,2770,0.01651
113/07/09,2670,-0.0361
113/07/10,2620,-0.01873
113/07/11,2525,-0.03626
113/07/12,2440,-0.03366
113/07/15,2375,-0.02664
113/07/16,2460,0.03579
113/07/17,2380,-0.03252
113/07/18,2275,-0.04412
113/07/19,2205,-0.03077
113/07/22,2160,-0.02041
113/07/23,2170,0.00463
113/07/26,1975,-0.08986
113/07/29,1900,-0.03797
113/07/30,1990,0.04737
113/07/31,2030,0.0201
113/08/01,2135,0.05172
113/08/02,1985,-0.07026
113/08/05,1790,-0.09824
113/08/06,1775,-0.00838
113/08/07,1950,0.09859
113/08/08,1905,-0.02308
113/08/09,1875,-0.01575
113/08/12,1965,0.048
113/08/13,1950,-0.00763
113/08/14,1960,0.00513
113/08/15,1925,-0.01786
113/08/16,2025,0.05195
113/08/19,1930,-0.04691
113/08/20,1940,0.00518
113/08/21,1890,-0.02577
113/08/22,1865,-0.01323
113/08/23,1915,0.02681
113/08/26,1910,-0.00261
113/08/27,1905,-0.00262
113/08/28,1925,0.0105
113/08/29,1905,-0.01039
113/08/30,1900,-0.00262
113/09/02,1855,-0.02368
113/09/03,1840,-0.00809
113/09/04,1675,-0.08967
113/09/05,1660,-0.00896
113/09/06,1715,0.03313
113/09/09,1715,0
113/09/10,1675,-0.02332
113/09/11,1650,-0.01493
113/09/12,1815,0.1
113/09/13,1780,-0.01928
113/09/16,1820,0.02247
113/09/18,1715,-0.05769
113/09/19,1820,0.06122
113/09/20,1770,-0.02747
113/09/23,1775,0.00282
113/09/24,1795,0.01127
113/09/25,1825,0.01671
113/09/26,1825,0
113/09/27,1825,0
113/09/30,1715,-0.06027
113/10/01,1755,0.02332
113/10/04,1730,-0.01425
113/10/07,1705,-0.01445
113/10/08,1745,0.02346
113/10/09,1805,0.03438
113/10/11,1895,0.04986
113/10/14,1990,0.05013
113/10/15,1965,-0.01256
113/10/16,1930,-0.01781
113/10/17,1950,0.01036
113/10/18,1935,-0.00769
113/10/21,1975,0.02067
113/10/22,2025,0.02532
113/10/23,2045,0.00988
113/10/24,1985,-0.02934
113/10/25,1980,-0.00252
113/10/28,1970,-0.00505
113/10/29,1920,-0.02538
113/10/30,1905,-0.00781
113/11/01,1865,-0.021
113/11/04,1960,0.05094
113/11/05,1930,-0.01531
113/11/06,1990,0.03109
113/11/07,2000,0.00503
113/11/08,2060,0.03
113/11/11,2085,0.01214
113/11/12,2100,0.00719
113/11/13,2140,0.01905
113/11/14,2260,0.05607
113/11/15,2160,-0.04425
113/11/18,2065,-0.04398
113/11/19,2085,0.00969
113/11/20,2080,-0.0024
113/11/21,2035,-0.02163
113/11/22,2130,0.04668
113/11/25,2200,0.03286
113/11/26,2115,-0.03864
113/11/27,1910,-0.09693
113/11/28,1980,0.03665
113/11/29,1935,-0.02273
113/12/02,1955,0.01034
113/12/03,2020,0.03325
113/12/04,2190,0.08416
113/12/05,2325,0.06164
113/12/06,2410,0.03656
113/12/09,2485,0.03112
113/12/10,2435,-0.02012
113/12/11,2480,0.01848
113/12/12,2465,-0.00605
113/12/13,2515,0.02028
113/12/16,2500,-0.00596
113/12/17,2605,0.042
113/12/18,2565,-0.01536
113/12/19,2670,0.04094
113/12/20,2640,-0.01124
113/12/23,2650,0.00379
113/12/24,2535,-0.0434
113/12/25,2585,0.01972
113/12/26,2570,-0.0058
113/12/27,2595,0.00973
113/12/30,2550,-0.01734
113/12/31,2620,0.02745
114/01/02,2550,-0.02672
114/01/03,2610,0.02353
114/01/06,2700,0.03448
114/01/07,2770,0.02593
114/01/08,2755,-0.00542
114/01/09,2615,-0.05082
114/01/10,2535,-0.03059
114/01/13,2425,-0.04339
114/01/14,2440,0.00619
114/01/15,2330,-0.04508
114/01/16,2395,0.0279
114/01/17,2415,0.00835
114/01/20,2450,0.01449
114/01/21,2365,-0.03469
114/01/22,2240,-0.05285
114/02/03,2020,-0.09821
114/02/04,2010,-0.00495
114/02/05,2095,0.04229
114/02/06,2120,0.01193
